season,week,date,away_team,home_team,home_score,away_score,home_line_open,home_line_close,home_ml_open,home_ml_close,away_ml_open,away_ml_close,total_open,total_close
2024,1,2024-09-08,DEN,SEA,26,20,-5.0,-6.0,1.4339999999999999,1.3839999999999999,2.9,3.1,42,42
2024,1,2024-09-08,PIT,ATL,10,18,-3.0,-3.5,1.6659999999999999,1.526,2.25,2.6,42.5,42
2024,1,2024-09-08,ARI,BUF,34,28,-7.0,-6.5,1.2849999999999999,1.333,3.75,3.4,47.5,46.5
2024,1,2024-09-08,TEN,CHI,24,17,-5.0,-4.0,1.4339999999999999,1.5,2.9,2.65,43.5,44.5
2024,1,2024-09-08,NE,CIN,10,16,-7.5,-8.0,1.25,1.25,4.2,4.2,42.5,41
2024,1,2024-09-08,HOU,IND,27,29,1.5,3.0,2,2.2999999999999998,1.833,1.645,47.5,48.5
2024,1,2024-09-08,JAX,MIA,20,17,-3.5,-3.5,1.6060000000000001,1.5549999999999999,2.4,2.5,49.5,49
2024,1,2024-09-08,CAR,NO,47,10,-4.5,-4.0,1.476,1.4870000000000001,2.75,2.7,39.5,41.5
2024,1,2024-09-08,MIN,NYG,6,28,-1.0,1.5,1.909,2.0499999999999998,1.909,1.8,40.5,41
2024,1,2024-09-09,NYJ,SF,32,19,-5.5,-3.5,1.4159999999999999,1.5,2.95,2.65,45.5,43.5
2024,10,2024-11-07,CIN,BAL,35,34,-6.0,-6.0,1.4079999999999999,1.357,3,3.3,49.5,52.5
2024,10,2024-11-10,DET,HOU,23,26,2.5,4.0,2.25,2.8,1.6659999999999999,1.454,48.5,49
2024,10,2024-11-10,NYJ,ARI,31,6,-1.0,2.0,1.909,2.15,1.909,1.74,45,46
2024,10,2024-11-10,PHI,DAL,6,34,3.0,7.0,2.2999999999999998,3.8,1.645,1.2769999999999999,48,44.5
2024,10,2024-11-10,TEN,LAC,27,17,-7.0,-8.0,1.3220000000000001,1.2350000000000001,3.5,4.25,38,40
2024,10,2024-11-10,NE,CHI,3,19,-7.0,-6.0,1.327,1.333,3.45,3.4,40.5,37.5
2024,10,2024-11-10,BUF,IND,20,30,4.0,4.5,2.6,2.85,1.526,1.444,47.5,47
2024,10,2024-11-10,MIN,JAX,7,12,4.0,7.0,2.6,3.6,1.526,1.3120000000000001,47.5,42.5
2024,10,2024-11-10,DEN,KC,16,14,-9.5,-7.0,1.222,1.2849999999999999,4.5,3.75,42.5,42.5
2024,10,2024-11-10,ATL,NO,20,17,1.0,3.5,1.909,2.65,1.909,1.5,46.5,47.5
2024,10,2024-11-10,SF,TB,20,23,6.0,6.5,3,3.4,1.4079999999999999,1.333,48,50
2024,10,2024-11-10,PIT,WAS,27,28,-1.5,-2.0,1.8,1.8,2.0499999999999998,2.0499999999999998,44.5,45
2024,10,2024-11-10,NYG,CAR,20,17,1.5,6.5,2.0499999999999998,3.45,1.8,1.327,42.5,40.5
2024,10,2024-11-11,MIA,LA,15,23,-3.0,-2.0,1.6060000000000001,1.7689999999999999,2.4,2.1,49.5,49.5
2024,11,2024-11-14,WAS,PHI,26,18,-3.5,-4.0,1.5549999999999999,1.454,2.5,2.8,49.5,49.5
2024,11,2024-11-17,CIN,LAC,34,27,-1.5,-1.0,1.833,1.833,2,2,43.5,48
2024,11,2024-11-17,ATL,DEN,38,6,1.5,-2.0,2,1.7689999999999999,1.833,2.1,43,44.5
