season,week,game_id,team,opp,is_home,off_plays,off_epa,off_pass_plays,off_pass_epa,off_rush_plays,off_rush_epa,off_success,off_plays_gt,off_epa_gt
2013,7,2013_07_DAL_PHI,PHI,DAL,1,75,-23.6957,52,-22.005,23,-1.6906,23,58,-22.6858
2013,7,2013_07_DEN_IND,DEN,IND,0,73,3.5929,54,12.7044,19,-9.1115,27,54,-6.4038
2013,7,2013_07_DEN_IND,IND,DEN,1,70,-7.3066,40,-1.6303,30,-5.6763,28,58,-0.2774
2013,7,2013_07_HOU_KC,HOU,KC,0,54,-3.0475,30,0.5208,24,-3.5684,19,54,-3.0475
2013,7,2013_07_HOU_KC,KC,HOU,1,65,1.6289,36,4.818,29,-3.1892,27,65,1.6289
2013,7,2013_07_MIN_NYG,MIN,NYG,0,68,-24.2206,54,-19.8713,14,-4.3493,18,39,-16.4629
2013,7,2013_07_MIN_NYG,NYG,MIN,1,72,-9.6611,41,0.4217,31,-10.0828,22,63,-4.0702
2013,7,2013_07_NE_NYJ,NE,NYJ,0,70,-7.34,50,-9.8098,20,2.4698,27,70,-7.34
2013,7,2013_07_NE_NYJ,NYJ,NE,1,88,-7.7761,37,-4.016,51,-3.7601,33,88,-7.7761
2013,7,2013_07_SD_JAX,JAX,LAC,1,59,-7.0261,42,-7.8909,17,0.8648,31,35,0.3683
2013,7,2013_07_SD_JAX,LAC,JAX,0,64,20.5937,27,18.8796,37,1.7141,36,54,25.1548
2013,7,2013_07_SEA_ARI,ARI,SEA,1,71,-21.6919,53,-16.0623,18,-5.6296,26,41,-16.6275
2013,7,2013_07_SEA_ARI,SEA,ARI,0,63,1.0428,32,3.3637,31,-2.3209,31,48,8.083
2013,7,2013_07_SF_TEN,SF,TEN,0,61,14.4194,23,8.9585,38,5.4609,29,37,17.293
2013,7,2013_07_SF_TEN,TEN,SF,1,57,1.2419,44,0.9292,13,0.3127,23,26,-3.6852
2013,7,2013_07_STL_CAR,CAR,LA,1,53,3.046,19,12.0781,34,-9.0321,25,41,6.986
2013,7,2013_07_STL_CAR,LA,CAR,0,59,-11.8295,38,-5.2458,21,-6.5837,22,37,-3.4743
2013,7,2013_07_TB_ATL,ATL,TB,1,41,8.107,26,13.9557,15,-5.8487,16,38,10.245
2013,7,2013_07_TB_ATL,TB,ATL,0,75,-1.4676,47,-2.7566,28,1.289,33,65,-9.0875
2013,8,2013_08_ATL_ARI,ARI,ATL,1,51,4.8519,21,1.6324,30,3.2196,19,32,10.3086
2013,8,2013_08_ATL_ARI,ATL,ARI,0,78,-12.8167,64,-9.7178,14,-3.0989,27,39,-9.857
2013,8,2013_08_BUF_NO,BUF,NO,0,68,-11.8212,43,-5.6744,25,-6.1468,25,43,-13.1743
2013,8,2013_08_BUF_NO,NO,BUF,1,61,11.5282,38,12.4481,23,-0.9199,28,52,7.0696
2013,8,2013_08_CAR_TB,CAR,TB,0,60,12.8812,35,3.1957,25,9.6855,28,46,13.6437
2013,8,2013_08_CAR_TB,TB,CAR,1,68,-10.0528,54,-5.8496,14,-4.2032,28,36,-6.1272
2013,8,2013_08_CLE_KC,CLE,KC,0,52,5.5191,37,6.9193,15,-1.4001,18,51,5.5376
2013,8,2013_08_CLE_KC,KC,CLE,1,70,5.8955,42,2.1918,28,3.7037,33,69,5.8649
2013,8,2013_08_DAL_DET,DAL,DET,0,55,-3.943,30,-0.099,25,-3.8441,22,54,-2.4434
2013,8,2013_08_DAL_DET,DET,DAL,1,77,-0.4208,48,-0.7693,29,0.3485,40,77,-0.4208
2013,8,2013_08_GB_MIN,GB,MIN,0,71,29.8346,31,22.4891,40,7.3455,39,52,25.163
2013,8,2013_08_GB_MIN,MIN,GB,1,43,5.4824,24,-0.9658,19,6.4482,19,30,0.9692
2013,8,2013_08_MIA_NE,MIA,NE,0,79,-0.3037,48,-4.7822,31,4.4785,35,74,-2.6308
2013,8,2013_08_MIA_NE,NE,MIA,1,59,-4.3347,25,-8.5566,34,4.2219,26,56,-2.8219
2013,8,2013_08_NYG_PHI,NYG,PHI,0,70,-9.0957,40,1.2145,30,-10.3102,28,54,0.7606
2013,8,2013_08_NYG_PHI,PHI,NYG,1,58,-19.666,39,-16.3855,19,-3.2805,26,43,-16.7979
2013,8,2013_08_NYJ_CIN,CIN,NYJ,1,56,14.5595,31,22.0151,25,-7.4556,24,37,13.0304
