Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
83,5180091828,dward4 (3/14),0,100.95,1B Jac Caglianone 2B Michael Massey 3B Brooks Lee C Salvador Perez OF Kyle Tucker OF Luke Keaschall OF Lane Thomas P Max Meyer P Taj Bradley SS Bobby Witt Jr.,,Ivan Herrera,C,3.58%,7
84,5180070663,nicoh22 (11/14),0,100.6,1B Freddie Freeman 2B Ozzie Albies 3B Leo Jimenez C Brian Navarreto OF Kyle Stowers OF Heriberto Hernandez OF Esteury Ruiz P Taj Bradley P Shane Drohan SS Mookie Betts,,Michael McGreevy,P,3.37%,13.1
84,5180093920,BassPhenix,0,100.6,1B Josh Bell 2B Ivan Johnson 3B Eugenio Suarez C Jonah Heim OF Heriberto Hernandez OF Starling Marte OF Shohei Ohtani P Max Meyer P Shane McClanahan SS Otto Lopez,,Victor Caratini,C,3.37%,7
86,5180065492,mattped23 (2/2),0,99.95,1B TJ Rumfield 2B Willi Castro 3B Leo Jimenez C Hunter Goodman OF Mickey Moniak OF Jake McCarthy OF Esteury Ruiz P Trevor McDonald P Kyle Freeland SS Otto Lopez,,Alex Freeland,2B,3.16%,0
87,5180088282,MJM234 (1/2),0,99.7,1B Kyle Stowers 2B JJ Wetherholt 3B Javier Sanoja C Jonah Heim OF Kyle Tucker OF Mickey Moniak OF Jordan Walker P Tatsuya Imai P Michael McGreevy SS Geraldo Perdomo,,Lars Nootbaar,OF,3.16%,0
88,5180064332,RR7373 (1/2),0,99.65,1B Matt Olson 2B Ozzie Albies 3B Junior Caminero C Drake Baldwin OF Michael Harris II OF Cedric Mullins OF Victor Mesa Jr. P Taj Bradley P Tatsuya Imai SS Jorge Mateo,,Sal Stewart,1B,3.16%,3
89,5180091135,Gulfcoastkid (3/4),0,99.25,1B Rafael Devers 2B Ketel Marte 3B Javier Sanoja C William Contreras OF Esteury Ruiz OF Taylor Trammell OF Shohei Ohtani P Shane McClanahan P Shane Drohan SS Geraldo Perdomo,,Isaac Paredes,3B,3.16%,5
90,5180066045,ellisac1 (2/14),0,98.95,1B Jonathan Aranda 2B Joshua Kuroda-Grauer 3B Javier Sanoja C Brian Navarreto OF Jackson Chourio OF Jake Bauers OF Esteury Ruiz P Max Meyer P Taj Bradley SS Otto Lopez,,Kody Clemens,2B,3.16%,18
90,5180066053,ellisac1 (10/14),0,98.95,1B Josh Bell 2B Joshua Kuroda-Grauer 3B Sal Stewart C Brian Navarreto OF Jackson Chourio OF Heriberto Hernandez OF Esteury Ruiz P Max Meyer P Taj Bradley SS Otto Lopez,,Leo Jimenez,3B,3.16%,0
90,5180072518,Prestonite (13/14),0,98.95,1B Rafael Devers 2B Luis Arraez 3B Junior Caminero C Victor Caratini OF Kyle Stowers OF Jung Hoo Lee OF Lourdes Gurriel Jr. P Max Meyer P Taj Bradley SS Geraldo Perdomo,,Carter Jensen,C,2.95%,0
93,5180066057,ellisac1 (14/14),0,98.65,1B Nick Kurtz 2B Jose Altuve 3B Javier Sanoja C Shea Langeliers OF Jackson Chourio OF Esteury Ruiz OF Colby Thomas P Taj Bradley P Tatsuya Imai SS Joshua Kuroda-Grauer,,Lourdes Gurriel Jr.,OF,2.95%,0
94,5180075588,gigoloJoe (9/11),0,98.45,1B Andrew Vaughn 2B Joshua Kuroda-Grauer 3B Yandy Diaz C Shea Langeliers OF Jackson Chourio OF Victor Mesa Jr. OF Colby Thomas P Max Meyer P Shane Drohan SS Otto Lopez,,Trevor Larnach,OF,2.95%,17
95,5180086578,claytankgunner (11/14),0,98.2,1B Andrew Vaughn 2B Brice Turang 3B Austin Riley C Gary Sanchez OF Jackson Chourio OF Kody Clemens OF Dominic Smith P Shane McClanahan P Seth Lugo SS Cooper Pratt,,Mauricio Dubon,OF,2.95%,6
96,5180062823,Awilson88 (2/2),0,98.15,1B Freddie Freeman 2B Ketel Marte 3B Javier Sanoja C Brian Navarreto OF Kyle Stowers OF Heriberto Hernandez OF Cedric Mullins P Tatsuya Imai P Shane Drohan SS Otto Lopez,,Starling Marte,OF,2.74%,3
